region,price,price per sq mtr,rooms,size,rent
Hyllie,2600000, 38235 ,3.0,68.0, 4118 
Ribersborg,3810000, 45904 ,3.0,83.0, 4221 
Ribersborg,2300000, 47917 ,2.0,48.0, 2847 
Västra Hamnen,2775000, 59043 ,2.0,47.0, 2552 
Rörsjöstaden,1600000, 43243 ,1.0,37.0, 2476 
Ribersborg,2795000, 45820 ,2.0,61.0, 3393 
Östra Sorgenfri/Nobel,1900000, 31614 ,2.0,60.1, 3708 
Västra Sorgenfri,1395000, 31705 ,1.5,44.0, 2682 
Rosengård,1040000, 13082 ,3.0,79.5, 5056 
Ellstorp,1240000, 26957 ,2.0,46.0, 3032 
Sorgenfri,1650000, 31429 ,2.0,52.5, 3157 
Borgmästaregården,2400000, 28571 ,3.0,84.0, 4662 
Borgmästaregården,2095000, 28311 ,3.0,74.0, 3913 
Rörsjöstaden,3400000, 45946 ,2.5,74.0, 3673 
Hyllie,2995000, 41310 ,3.0,72.5, 3957 
Heleneholm,1010000, 17235 ,2.0,58.6, 3238 
Limhamn,2695000, 44180 ,2.5,61.0, 3590 
Slottsstaden,3200000, 32821 ,3.0,97.5, 5798 
Högaholm,1100000, 13333 ,3.0,82.5, 3889 
Oxie,2250000, 19737 ,4.0,114.0, 6246 
Högaholm,1175000, 16319 ,3.0,72.0, 5036 
Hyllie,1650000, 35870 ,2.0,46.0, 2680 
Rörsjöstaden,3000000, 49180 ,2.0,61.0, 2931 
Limhamn,1360000, 37057 ,1.0,36.7, 2413 
Rosengård,870000, 12985 ,2.0,67.0, 4568 
Dockan,4000000, 61538 ,2.0,65.0, 3899 
Lönngården,870000, 18125 ,1.5,48.0, 2930 
City,3675000, 59274 ,2.0,62.0, 3515 
Slussen,2000000, 51282 ,2.0,39.0, 2398 
Söderkulla,1210000, 20167 ,2.0,60.0, 2751 
Slottsstaden,2050000, 38679 ,1.5,53.0, 3443 
Bunkeflostrand,1150000, 28750 ,1.0,40.0, 3216 
Pildammarna,1895000, 35093 ,2.0,54.0, 4146 
Davidshall,2150000, 58424 ,1.0,36.8, 2361 
Gamla Väster,4635000, 54529 ,3.5,85.0, 5614 
Nobeltorget,2320000, 29219 ,3.5,79.4, 3992 
Fågelbacken,3000000, 47923 ,3.0,62.6, 2819 
Pildammarna,2020000, 38697 ,2.0,52.2, 3152 
Södra Sofielund,850000, 13492 ,2.5,63.0, 4095 
Hyllie,2600000, 38235 ,3.0,68.0, 4118 
Ribersborg,3810000, 45904 ,3.0,83.0, 4221 
Ribersborg,2300000, 47917 ,2.0,48.0, 2847 
Västra Hamnen,2775000, 59043 ,2.0,47.0, 2552 
Rörsjöstaden,1600000, 43243 ,1.0,37.0, 2476 
Ribersborg,2795000, 45820 ,2.0,61.0, 3393 
Östra Sorgenfri/Nobel,1900000, 31614 ,2.0,60.1, 3708 
Västra Sorgenfri,1395000, 31705 ,1.5,44.0, 2682 
Rosengård,1040000, 13082 ,3.0,79.5, 5056 
Ellstorp,1240000, 26957 ,2.0,46.0, 3032 
Sorgenfri,1650000, 31429 ,2.0,52.5, 3157 
Borgmästaregården,2400000, 28571 ,3.0,84.0, 4662 
Borgmästaregården,2095000, 28311 ,3.0,74.0, 3913 
