region,price,price per sq mtr,rooms,size,rent
Brunnshög,2200000,32353.0,2.0,68.0, 3959 
Hyllie,2995000,41310.0,3.0,72.5, 3957 
Heleneholm,1010000,17235.0,2.0,58.6, 3238 
Limhamn,2695000,44180.0,2.5,61.0, 3590 
Sjöbo,530000,12184.0,1.0,43.5, 2515 
Eslöv tätort,1425000,20213.0,3.0,70.5, 4393 
Eslöv tätort,750000,11811.0,2.0,63.5, 4694 
Slottsstaden,3200000,32821.0,3.0,97.5, 5798 
Centrum,2045000,92955.0,1.0,22.0, 1254 
Centrum,995000,32623.0,1.0,30.5, 1777 
Oxie,2250000,19737.0,4.0,114.0, 6246 
Lomma - Henriksgården,1900000,36190.0,2.0,52.5, 3810 
Högaholm,1175000,16319.0,3.0,72.0, 5036 
Centrum,2350000,67143.0,1.5,35.0, 2107 
Hyllie,1650000,35870.0,2.0,46.0, 2680 
Norr,2500000,40323.0,2.0,62.0, 4388 
Rörsjöstaden,3000000,49180.0,2.0,61.0, 2931 
Höganäs,2860000,,4.0,127.0, 6162 
Ödåkra,1700000,14655.0,4.0,116.0, 5602 
Hemmeslöv,1895000,27868.0,3.0,68.0, 3456 
Hemmeslöv,1950000,28676.0,3.0,68.0, 3456 
Hemmeslöv,2175000,27885.0,4.0,78.0, 3964 
Hemmeslöv,1950000,28676.0,3.0,68.0, 3456 
Hemmeslöv,1695000,30818.0,2.0,55.0, 2795 
Hemmeslöv,1695000,30818.0,2.0,55.0, 2795 
Hemmeslöv,1295000,38088.0,1.0,34.0, 1728 
Hemmeslöv,1995000,29338.0,3.0,68.0, 3456 
Rosengård,870000,12985.0,2.0,67.0, 4568 
Dockan,4000000,61538.0,2.0,65.0, 3899 
Lönngården,870000,18125.0,1.5,48.0, 2930 
Slottshöjden,1880000,34182.0,2.0,55.0, 4377 
City,3675000,59274.0,2.0,62.0, 3515 
Slussen,2000000,51282.0,2.0,39.0, 2398 
Brunnshög,2200000,32353.0,2.0,68.0, 3959 
Hyllie,2995000,41310.0,3.0,72.5, 3957 
Heleneholm,1010000,17235.0,2.0,58.6, 3238 
Limhamn,2695000,44180.0,2.5,61.0, 3590 
Sjöbo,530000,12184.0,1.0,43.5, 2515 
Eslöv tätort,1425000,20213.0,3.0,70.5, 4393 
Eslöv tätort,750000,11811.0,2.0,63.5, 4694 
Slottsstaden,3200000,32821.0,3.0,97.5, 5798 
Centrum,2045000,92955.0,1.0,22.0, 1254 
Centrum,995000,32623.0,1.0,30.5, 1777 
Oxie,2250000,19737.0,4.0,114.0, 6246 
Lomma - Henriksgården,1900000,36190.0,2.0,52.5, 3810 
Högaholm,1175000,16319.0,3.0,72.0, 5036 
Centrum,2350000,67143.0,1.5,35.0, 2107 
Hyllie,1650000,35870.0,2.0,46.0, 2680 
Norr,2500000,40323.0,2.0,62.0, 4388 
Rörsjöstaden,3000000,49180.0,2.0,61.0, 2931 
Höganäs,2860000,,4.0,127.0, 6162 
Ödåkra,1700000,14655.0,4.0,116.0, 5602 
Hemmeslöv,1895000,27868.0,3.0,68.0, 3456 
Hemmeslöv,1950000,28676.0,3.0,68.0, 3456 
Hemmeslöv,2175000,27885.0,4.0,78.0, 3964 
Hemmeslöv,1950000,28676.0,3.0,68.0, 3456 
Hemmeslöv,1695000,30818.0,2.0,55.0, 2795 
Hemmeslöv,1695000,30818.0,2.0,55.0, 2795 
Hemmeslöv,1295000,38088.0,1.0,34.0, 1728 
Hemmeslöv,1995000,29338.0,3.0,68.0, 3456 
Rosengård,870000,12985.0,2.0,67.0, 4568 
Dockan,4000000,61538.0,2.0,65.0, 3899 
Lönngården,870000,18125.0,1.5,48.0, 2930 
Slottshöjden,1880000,34182.0,2.0,55.0, 4377 
City,3675000,59274.0,2.0,62.0, 3515 
Slussen,2000000,51282.0,2.0,39.0, 2398 
Högalid,750000,18072.0,2.0,41.5, 2357 
Söderkulla,1210000,20167.0,2.0,60.0, 2751 
Slottsstaden,2050000,38679.0,1.5,53.0, 3443 
Bunkeflostrand,1150000,28750.0,1.0,40.0, 3216 
Husensjö,3450000,,4.0,119.0, 5101 
Pildammarna,1895000,35093.0,2.0,54.0, 4146 
Davidshall,2150000,58424.0,1.0,36.8, 2361 
Gamla Väster,4635000,54529.0,3.5,85.0, 5614 
Sandmöllan,1780000,23268.0,3.0,76.5, 3775 
Nobeltorget,2320000,29219.0,3.5,79.4, 3992 
Hässleholm - Hassellunden,925000,17453.0,2.0,53.0, 3360 
Kävlinge Tätort,1250000,20161.0,3.0,62.0, 4797 
Vipelyckan,3600000,38710.0,3.5,93.0, 5290 
Mariastaden,2200000,28571.0,3.0,77.0, 4769 
Centrum,1350000,15254.0,4.0,88.5, 6064 
Västra Berga,1250000,27778.0,1.5,45.0, 2716 
Norra Fäladen,1550000,43056.0,1.0,36.0, 2990 
Lomma - Piläng,4150000,,3.0,85.2, 5061 
Fågelbacken,3000000,47923.0,3.0,62.6, 2819 
Veberöd,850000,19318.0,2.0,44.0, 2967 
Pildammarna,2020000,38697.0,2.0,52.2, 3152 
Södra Sofielund,850000,13492.0,2.5,63.0, 4095 
S:t Lars,3495000,39270.0,3.0,89.0, 5197 
Änghög,2230000,27362.0,3.0,81.5, 4595 
Gustavslund,3500000,,5.0,121.0, 4561 
Davidshall,5200000,53061.0,4.0,98.0, 3889 
Ribersborg,2400000,46154.0,2.0,52.0, 2560 
Västra Hamnen,2425000,49490.0,2.0,49.0, 2956 
Tågaborg,1995000,39900.0,2.0,50.0, 1575 
Möllevången,1960000,27222.0,3.5,72.0, 3990 
Ättekulla,1290000,16645.0,3.0,77.5, 6073 
Almhög,850000,15596.0,2.0,54.5, 3532 
Centralt,1350000,20769.0,2.0,65.0, 3955 
S:t Knut,1750000,43750.0,1.0,40.0, 2498 
S:t Knut,1800000,36000.0,2.5,50.0, 3150 
Mårtens Fälad,2490000,,2.0,67.5, 2987 
Hästhagen,2350000,52106.0,2.0,45.1, 2654 
Limhamns Sjöstad,2800000,43077.0,2.0,65.0, 3180 
Vita Höja,780000,16250.0,1.0,48.0, 2627 
Lomma - Slättäng,1750000,31818.0,2.0,55.0, 5042 
Röda Höja,2800000,26291.0,5.0,106.5, 5020 
Triangeln,2050000,39423.0,2.0,52.0, 3356 
Västra hamnen,2350000,47000.0,1.5,50.0, 3002 
Balsby,2100000,26923.0,3.0,78.0, 3761 
Mariastaden,2225000,26176.0,2.0,85.0, 5593 
Rådmansvången,1950000,39796.0,2.0,49.0, 3388 
Ellstorp,1500000,29412.0,2.5,51.0, 3852 
Centrum,4460000,56671.0,3.0,78.7, 4033 
Täppet,2445000,,4.0,87.0, 4997 
Mörarp,890000,16792.0,2.0,53.0, 3731 
Rosengården,1095000,17381.0,2.0,63.0, 4137 
Ättekulla,1025000,25000.0,1.0,41.0, 2763 
Kävlinge - Centralt,955000,29844.0,1.0,32.0, 1840 
Centralt,1800000,22930.0,3.0,78.5, 4680 
Högaholm,1200000,14724.0,3.0,81.5, 4281 
Pildammarna,1760000,30877.0,2.0,57.0, 4158 
Fredriksdal,1300000,12207.0,4.0,106.5, 6883 
Borstahusen,5500000,33742.0,5.0,163.0, 6871 
Centrum,1825000,24172.0,3.0,75.5, 4489 
Lorensborg,2415000,26393.0,3.0,91.5, 4709 
Slottsstaden,3525000,46321.0,3.0,76.1, 4413 
Ättekulla,1850000,24183.0,3.0,76.5, 4390 
Veberöd,1325000,22458.0,2.0,59.0, 3885 
Centrum,2250000,30822.0,3.0,73.0, 4768 
Lindeborg,1295000,21949.0,2.0,59.0, 5527 
Parkstaden,1300000,24299.0,2.0,53.5, 3499 
Almhög,1095000,15755.0,3.0,69.5, 4717 
Dockan,2595000,50882.0,2.0,51.0, 3249 
Hallasvängen,2250000,27108.0,3.0,83.0, 4503 
Landskrona,1195000,16831.0,3.0,71.0, 3925 
Tågaborg,2725000,34494.0,2.5,79.0, 5218 
Vita Höja,1700000,20000.0,3.0,85.0, 4194 
Husensjö,1295000,23545.0,2.0,55.0, 4265 
Pålsjö Hage,2825000,32102.0,4.0,88.0, 5072 
Kalkbrottet,2400000,43636.0,2.0,55.0, 2878 
Hyllie,2195000,35403.0,2.0,62.0, 3509 
Almhög,925000,13309.0,3.0,69.5, 4789 
Höllviken,6250000,50000.0,3.5,125.0, 6641 
Bunkeflostrand,1235000,23750.0,2.0,52.0, 4063 
Åstorp,660000,10909.0,2.0,60.5, 4142 
Galjevången,1850000,32743.0,2.0,56.5, 4501 
Arenaparken,3795000,48038.0,3.0,79.0, 4003 
Stångby,3850000,,3.0,83.0, 4260 
Sofiaparken,2600000,31325.0,3.0,83.0, 4214 
Slottsstaden,2685000,44750.0,2.0,60.0, 2250 
Almhög,1000000,12500.0,3.0,80.0, 4928 
Davidshallstorg,3300000,95652.0,1.0,34.5, 2616 
Friluftsstaden,4900000,,4.0,89.0, 6245 
Limhamn,1900000,36538.0,2.0,52.0, 2800 
Arlöv,1040000,16911.0,2.0,61.5, 3172 
Borgmästaregården,2100000,25767.0,3.0,81.5, 4751 
Centrum,1600000,19512.0,3.0,82.0, 5033 
