Hyllinge, 3895000  ,NaN,713,5, 713m² tomt 
Brunnshög, 2200000  , 32353 ,2,68, 3959 
Hyllie, 2995000  , 41310 ,3,72.5, 3957 
Heleneholm, 1010000  , 17235 ,2,58.6, 3238 
Limhamn, 2695000  , 44180 ,2.5,61, 3590 
not specified, 1770000  , 31607 ,2,56, 3108 
not specified, 2090000  , 25395 ,4,82.3, 5518 
Anderslöv, 3590000  ,NaN,6,136," 918,3m² tomt "
Linderöd, 1250000  ,NaN,5,128, 1018m² tomt 75m² biarea 
Sjöbo, 530000  , 12184 ,1,43.5, 2515 
Eslöv tätort, 1425000  , 20213 ,3,70.5, 4393 
Hässleholm - Väster, 2200000  ,NaN,5,105, 802m² tomt 87m² biarea 
Eslöv tätort, 750000  , 11811 ,2,63.5, 4694 
Slottsstaden, 3200000  , 32821 ,3,97.5, 5798 
Centrum, 2045000  , 92955 ,1,22, 1254 
Centrum, 995000  , 32623 ,1,30.5, 1777 
Oxie, 2250000  , 19737 ,4,114, 6246 
Lomma - Henriksgården, 1900000  , 36190 ,2,52.5, 3810 
Högaholm, 1175000  , 16319 ,3,72, 5036 
Centrum, 2350000  , 67143 ,1.5,35, 2107 
Laröd, 5370000  ,NaN,5,142, 155m² tomt 8m² biarea 
Hyllie, 1650000  , 35870 ,2,46, 2680 
Rydsgård, 1825000  ,NaN,5,120, 742m² tomt 40m² biarea 
Vejbystrand, 5700000  ,NaN,12,289, 28415m² tomt 82m² biarea 
Lomma - Strandstaden, 4300000  , 46237 ,3,93, 4445 23m² biarea 
Norr, 2500000  , 40323 ,2,62, 4388 
Rörsjöstaden, 3000000  , 49180 ,2,61, 2931 
Mjöhult, 5500000  ,NaN,6,154, 3500m² tomt 109m² biarea 
Höganäs, 2860000  ,NaN,4,127, 6162 
Skepparkroken/Björkhagen , 4850000  ,NaN,6,170, 740m² tomt 
Onslunda, 1100000  ,NaN,3,87, 584m² tomt 12m² biarea 
Glumslöv, 4330000  ,NaN,5,130, 363m² tomt 7m² biarea 
Ödåkra, 1700000  , 14655 ,4,116, 5602 
Hemmeslöv, 1895000  , 27868 ,3,68, 3456 
Hemmeslöv, 1950000  , 28676 ,3,68, 3456 
Hemmeslöv, 2175000  , 27885 ,4,78, 3964 
Hemmeslöv, 1950000  , 28676 ,3,68, 3456 
Hemmeslöv, 1695000  , 30818 ,2,55, 2795 
Hemmeslöv, 1695000  , 30818 ,2,55, 2795 
Hemmeslöv, 1295000  , 38088 ,1,34, 1728 
Hemmeslöv, 1995000  , 29338 ,3,68, 3456 
Vejbystrand, 1925000  , 25000 ,3,77, 3452 10m² biarea 
Helsingborg, 4400000  ,NaN,5,137, 166m² tomt 
Rosengård, 870000  , 12985 ,2,67, 4568 
Dockan, 4000000  , 61538 ,2,65, 3899 
Lönngården, 870000  , 18125 ,1.5,48, 2930 
Slottshöjden, 1880000  , 34182 ,2,55, 4377 
City, 3675000  , 59274 ,2,62, 3515 
Wilson Park, 5350000  ,NaN,9,178, 661m² tomt 80m² biarea 
Slussen, 2000000  , 51282 ,2,39, 2398 
Hyllinge, 3895000  ,NaN,713,5, 713m² tomt 
Brunnshög, 2200000  , 32353 ,2,68, 3959 
Hyllie, 2995000  , 41310 ,3,72.5, 3957 
Heleneholm, 1010000  , 17235 ,2,58.6, 3238 
Limhamn, 2695000  , 44180 ,2.5,61, 3590 
not specified, 1770000  , 31607 ,2,56, 3108 
not specified, 2090000  , 25395 ,4,82.3, 5518 
Anderslöv, 3590000  ,NaN,6,136," 918,3m² tomt "
Linderöd, 1250000  ,NaN,5,128, 1018m² tomt 75m² biarea 
Sjöbo, 530000  , 12184 ,1,43.5, 2515 
Eslöv tätort, 1425000  , 20213 ,3,70.5, 4393 
Hässleholm - Väster, 2200000  ,NaN,5,105, 802m² tomt 87m² biarea 
Eslöv tätort, 750000  , 11811 ,2,63.5, 4694 
Slottsstaden, 3200000  , 32821 ,3,97.5, 5798 
Centrum, 2045000  , 92955 ,1,22, 1254 
Centrum, 995000  , 32623 ,1,30.5, 1777 
Oxie, 2250000  , 19737 ,4,114, 6246 
Lomma - Henriksgården, 1900000  , 36190 ,2,52.5, 3810 
Högaholm, 1175000  , 16319 ,3,72, 5036 
Centrum, 2350000  , 67143 ,1.5,35, 2107 
Laröd, 5370000  ,NaN,5,142, 155m² tomt 8m² biarea 
Hyllie, 1650000  , 35870 ,2,46, 2680 
Rydsgård, 1825000  ,NaN,5,120, 742m² tomt 40m² biarea 
Vejbystrand, 5700000  ,NaN,12,289, 28415m² tomt 82m² biarea 
Lomma - Strandstaden, 4300000  , 46237 ,3,93, 4445 23m² biarea 
Norr, 2500000  , 40323 ,2,62, 4388 
Rörsjöstaden, 3000000  , 49180 ,2,61, 2931 
Mjöhult, 5500000  ,NaN,6,154, 3500m² tomt 109m² biarea 
Höganäs, 2860000  ,NaN,4,127, 6162 
Skepparkroken/Björkhagen , 4850000  ,NaN,6,170, 740m² tomt 
Onslunda, 1100000  ,NaN,3,87, 584m² tomt 12m² biarea 
Glumslöv, 4330000  ,NaN,5,130, 363m² tomt 7m² biarea 
Ödåkra, 1700000  , 14655 ,4,116, 5602 
Hemmeslöv, 1895000  , 27868 ,3,68, 3456 
Hemmeslöv, 1950000  , 28676 ,3,68, 3456 
Hemmeslöv, 2175000  , 27885 ,4,78, 3964 
Hemmeslöv, 1950000  , 28676 ,3,68, 3456 
Hemmeslöv, 1695000  , 30818 ,2,55, 2795 
Hemmeslöv, 1695000  , 30818 ,2,55, 2795 
Hemmeslöv, 1295000  , 38088 ,1,34, 1728 
Hemmeslöv, 1995000  , 29338 ,3,68, 3456 
Vejbystrand, 1925000  , 25000 ,3,77, 3452 10m² biarea 
Helsingborg, 4400000  ,NaN,5,137, 166m² tomt 
Rosengård, 870000  , 12985 ,2,67, 4568 
Dockan, 4000000  , 61538 ,2,65, 3899 
Lönngården, 870000  , 18125 ,1.5,48, 2930 
Slottshöjden, 1880000  , 34182 ,2,55, 4377 
City, 3675000  , 59274 ,2,62, 3515 
Wilson Park, 5350000  ,NaN,9,178, 661m² tomt 80m² biarea 
Slussen, 2000000  , 51282 ,2,39, 2398 
Högalid, 750000  , 18072 ,2,41.5, 2357 
Söderkulla, 1210000  , 20167 ,2,60, 2751 
Slottsstaden, 2050000  , 38679 ,1.5,53, 3443 
